source_kind,method,system,returncode,energy_cp2k_hartree,energy_cli_hartree,energy_absdiff_hartree,gradient_diff_sum,gradient_diff_max,virial_diff_sum,virial_diff_max,exceeded_error_limit,skipped,source,run_dir
wsc_last_restart,GFN1,adamantane,0,-5.973793796846E+01,-5.973793796865E+01,1.953424089152E-10,7.402023159352E-07,2.789442657978E-08,5.582466894963E-07,2.474329370980E-07,False,False,X23b/runs/cellopt_gamma/GFN1/adamantane_GFN1_gamma_cellopt/adamantane_GFN1_gamma_cell_opt-1.restart,wsc_last_restart/GFN1/adamantane
wsc_last_restart,GFN1,ammonia,0,-1.936297743722E+01,-1.936297742262E+01,1.460036003209E-08,7.776247689711E-07,2.128427399611E-08,2.255384955719E-07,7.517950864969E-08,False,False,X23b/runs/cellopt_gamma/GFN1/ammonia_GFN1_gamma_cellopt/ammonia_GFN1_gamma_cell_opt-1.restart,wsc_last_restart/GFN1/ammonia
wsc_last_restart,GFN1,anthracene,0,-7.019294401566E+01,-7.019294401254E+01,3.116852553831E-09,3.619372862511E-07,7.802830231550E-09,9.229363448195E-07,3.878630105902E-07,False,False,X23b/runs/cellopt_gamma/GFN1/anthracene_GFN1_gamma_cellopt/anthracene_GFN1_gamma_cell_opt-1.restart,wsc_last_restart/GFN1/anthracene
wsc_last_restart,GFN1,benzene,0,-6.364942207629E+01,-6.364942207624E+01,4.817479748453E-11,2.127779291137E-07,4.700834373318E-09,6.009520708385E-07,2.766817217646E-07,False,False,X23b/runs/cellopt_gamma/GFN1/benzene_GFN1_gamma_cellopt/benzene_GFN1_gamma_cell_opt-1.restart,wsc_last_restart/GFN1/benzene
wsc_last_restart,GFN1,co2,0,-4.620093503484E+01,-4.620093502259E+01,1.225432555430E-08,1.479649198150E-07,6.165218369679E-09,6.828797614982E-07,2.276265957842E-07,False,False,X23b/runs/cellopt_gamma/GFN1/co2_GFN1_gamma_cellopt/co2_GFN1_gamma_cell_opt-1.restart,wsc_last_restart/GFN1/co2
wsc_last_restart,GFN1,cyanamide,0,-7.659318840097E+01,-7.659318839441E+01,6.566622801074E-09,2.854198051635E-06,1.601268169718E-07,1.900134899944E-06,1.739596897643E-06,True,False,X23b/runs/cellopt_gamma/GFN1/cyanamide_GFN1_gamma_cellopt/cyanamide_GFN1_gamma_cell_opt-1.restart,wsc_last_restart/GFN1/cyanamide
wsc_last_restart,GFN1,cytosine,0,-1.021036513727E+02,-1.021036513767E+02,4.028663624922E-09,2.063762649806E-06,4.244501938637E-08,1.304282000111E-06,1.035476393040E-06,True,False,X23b/runs/cellopt_gamma/GFN1/cytosine_GFN1_gamma_cellopt/cytosine_GFN1_gamma_cell_opt-1.restart,wsc_last_restart/GFN1/cytosine
wsc_last_restart,GFN1,ethylcarbamate,0,-4.562282793991E+01,-4.562282793784E+01,2.070834170809E-09,5.391169041495E-07,3.589406474304E-08,5.759848654508E-07,1.162288296233E-07,False,False,X23b/runs/cellopt_gamma/GFN1/ethylcarbamate_GFN1_gamma_cellopt/ethylcarbamate_GFN1_gamma_cell_opt-1.restart,wsc_last_restart/GFN1/ethylcarbamate
wsc_last_restart,GFN1,formamide,0,-4.663973843272E+01,-4.663973843008E+01,2.644448215960E-09,1.951830236898E-07,6.225818346538E-09,4.327292137573E-07,1.408870945671E-07,False,False,X23b/runs/cellopt_gamma/GFN1/formamide_GFN1_gamma_cellopt/formamide_GFN1_gamma_cell_opt-1.restart,wsc_last_restart/GFN1/formamide
wsc_last_restart,GFN1,hexamine,0,-3.195699219932E+01,-3.195699219454E+01,4.776964601660E-09,3.665446967143E-07,3.049394997411E-08,9.565228534228E-07,2.914145121359E-07,False,False,X23b/runs/cellopt_gamma/GFN1/hexamine_GFN1_gamma_cellopt/hexamine_GFN1_gamma_cell_opt-1.restart,wsc_last_restart/GFN1/hexamine
wsc_last_restart,GFN1,imidazole,0,-5.970755954591E+01,-5.970755954702E+01,1.112844927320E-09,2.617682041792E-06,9.098527315268E-08,3.080574719537E-06,1.434718920537E-06,True,False,X23b/runs/cellopt_gamma/GFN1/imidazole_GFN1_gamma_cellopt/imidazole_GFN1_gamma_cell_opt-1.restart,wsc_last_restart/GFN1/imidazole
wsc_last_restart,GFN1,naphthalene,0,-5.101839491213E+01,-5.101839490907E+01,3.065437681471E-09,6.582034174398E-07,1.857965852033E-08,5.558325278679E-07,3.328190099523E-07,False,False,X23b/runs/cellopt_gamma/GFN1/naphthalene_GFN1_gamma_cellopt/naphthalene_GFN1_gamma_cell_opt-1.restart,wsc_last_restart/GFN1/naphthalene
wsc_last_restart,GFN1,oxalic_acid_alpha,0,-9.657041946422E+01,-9.657041946312E+01,1.100247004615E-09,2.724326867240E-06,7.830167856270E-08,2.369204316888E-06,1.457379639629E-06,True,False,X23b/runs/cellopt_gamma/GFN1/oxalic_acid_alpha_GFN1_gamma_cellopt/oxalic_acid_alpha_GFN1_gamma_cell_opt-1.restart,wsc_last_restart/GFN1/oxalic_acid_alpha
wsc_last_restart,GFN1,oxalic_acid_beta,0,-4.833044172217E+01,-4.833044171473E+01,7.442835681104E-09,1.477607122245E-07,2.035104299729E-08,4.267932313451E-07,2.890204177722E-07,False,False,X23b/runs/cellopt_gamma/GFN1/oxalic_acid_beta_GFN1_gamma_cellopt/oxalic_acid_beta_GFN1_gamma_cell_opt-1.restart,wsc_last_restart/GFN1/oxalic_acid_beta
wsc_last_restart,GFN1,pyrazine,0,-3.395633168844E+01,-3.395633168706E+01,1.388407611103E-09,1.134475767547E-07,6.687922487082E-09,3.916264129330E-07,1.563382733463E-07,False,False,X23b/runs/cellopt_gamma/GFN1/pyrazine_GFN1_gamma_cellopt/pyrazine_GFN1_gamma_cell_opt-1.restart,wsc_last_restart/GFN1/pyrazine
wsc_last_restart,GFN1,pyrazole,0,-1.189805130452E+02,-1.189805130475E+02,2.348485850234E-09,1.581788618520E-06,4.447566610225E-08,1.173559626964E-06,4.455594057561E-07,False,False,X23b/runs/cellopt_gamma/GFN1/pyrazole_GFN1_gamma_cellopt/pyrazole_GFN1_gamma_cell_opt-1.restart,wsc_last_restart/GFN1/pyrazole
wsc_last_restart,GFN1,succinic_acid,0,-6.118224107885E+01,-6.118224106975E+01,9.099842657179E-09,2.291473370957E-06,1.220584266897E-07,2.039853377976E-06,7.325423609407E-07,False,False,X23b/runs/cellopt_gamma/GFN1/succinic_acid_GFN1_gamma_cellopt/succinic_acid_GFN1_gamma_cell_opt-1.restart,wsc_last_restart/GFN1/succinic_acid
wsc_last_restart,GFN1,triazine,0,-1.050650701508E+02,-1.050650701517E+02,8.909353255149E-10,3.073127788541E-07,5.705737037140E-09,8.447797137478E-07,3.551357443676E-07,False,False,X23b/runs/cellopt_gamma/GFN1/triazine_GFN1_gamma_cellopt/triazine_GFN1_gamma_cell_opt-1.restart,wsc_last_restart/GFN1/triazine
wsc_last_restart,GFN1,trioxane,0,-1.423140866415E+02,-1.423140866444E+02,2.868262072298E-09,6.362638523888E-07,7.523927681406E-09,4.019967353532E-07,1.331920048142E-07,False,False,X23b/runs/cellopt_gamma/GFN1/trioxane_GFN1_gamma_cellopt/trioxane_GFN1_gamma_cell_opt-1.restart,wsc_last_restart/GFN1/trioxane
wsc_last_restart,GFN1,uracil,0,-1.059699563758E+02,-1.059699563705E+02,5.251095558378E-09,3.364645936713E-06,1.457993688871E-07,2.665388069731E-06,1.222497624562E-06,True,False,X23b/runs/cellopt_gamma/GFN1/uracil_GFN1_gamma_cellopt/uracil_GFN1_gamma_cell_opt-1.restart,wsc_last_restart/GFN1/uracil
wsc_last_restart,GFN1,urea,0,-3.087577635032E+01,-3.087577633596E+01,1.436115582010E-08,4.466579387088E-07,4.538318122303E-08,1.007400572026E-06,5.091497017849E-07,False,False,X23b/runs/cellopt_gamma/GFN1/urea_GFN1_gamma_cellopt/urea_GFN1_gamma_cell_opt-1.restart,wsc_last_restart/GFN1/urea
